0,Word,ContFunc,Syllable,Morpho,FromSnd,SemanTr,Freq
1,ที่,CF,1,เดี่ยว,1,0,63126
2,จะ,F,1,เดี่ยว,1,0,51681
3,เป็น,C,1,เดี่ยว,1,0,51273
4,ไป,CF,1,เดี่ยว,1,0,46567
5,ก็,F,1,เดี่ยว,1,0,46409
6,ไม่,F,1,เดี่ยว,1,0,45895
7,มี,C,1,เดี่ยว,1,0,44899
8,ได้,CF,1,เดี่ยว,2,0,44513
9,ว่า,CF,1,เดี่ยว,1,0,40290
10,ให้,CF,1,เดี่ยว,1,0,38715
11,มา,CF,1,เดี่ยว,2,0,37418
12,ของ,CF,1,เดี่ยว,1,0,36425
13,ใน,CF,1,เดี่ยว,1,0,35178
14,และ,CF,1,เดี่ยว,1,0,34584
15,ความ,CF,1,เดี่ยว,1,0,27623
16,แล้ว,CF,1,เดี่ยว,1,0,26765
17,การ,CF,1,เดี่ยว,2,0,25401
18,อยู่,CF,1,เดี่ยว,2,0,25378
19,คน,C,1,เดี่ยว,1,0,23226
20,กัน,CF,1,เดี่ยว,1,0,21229
21,แต่,F,1,เดี่ยว,1,0,17977
22,เขา,C,1,เดี่ยว,1,0,16563
23,นั้น,C,1,เดี่ยว,1,0,16422
24,กับ,CF,1,เดี่ยว,1,0,16221
25,นี้,C,1,เดี่ยว,1,0,15417
26,ขึ้น,CF,1,เดี่ยว,1,0,14738
27,ด้วย,F,1,เดี่ยว,1,0,14694
28,หรือ,F,1,เดี่ยว,1,0,14679
29,จึง,F,1,เดี่ยว,1,0,14539
30,อย่าง,C,1,เดี่ยว,2,0,13990
31,เรา,C,1,เดี่ยว,1,0,13966
32,ต้อง,CF,1,เดี่ยว,1,0,13585
33,ทำ,C,1,เดี่ยว,1,0,12650
34,ฉัน,CF,1,เดี่ยว,2,0,12075
35,คำ,C,1,เดี่ยว,1,0,12014
36,หนึ่ง,C,1,เดี่ยว,1,0,11965
37,เห็น,C,1,เดี่ยว,1,0,11772
38,ผู้,C,1,เดี่ยว,1,0,11662
39,เมื่อ,F,1,เดี่ยว,1,0,11567
40,ใช้,C,1,เดี่ยว,1,0,11558
41,จาก,CF,1,เดี่ยว,1,0,10720
42,แม่,C,1,เดี่ยว,1,0,10498
